;index;name;ingredients;cuisine
17;17;Vietnamese Fresh Spring Rolls;['2 ounces rice noodles (rice sticks)', '1/4 pound shrimp (peeled, cooked, and split in half)', '1/4 pound cooked pork (sliced or shredded)', '4 lettuce leaves (large, hard veins removed)', '2 carrots (cut into matchsticks)', '1 handful fresh cilantro', '1 handful fresh mint', '1 handful fresh Thai basil (Italian basil can be used in a pinch)', '8 spring roll wrappers (rice paper)'];Vietnamese
18;18;Vietnamese Pho;['2 cups beef stock', '1 cinnamon (quill)', '2 star anise', '3 centimeters ginger (piece of)', '250 grams rice stick noodles (flat)', '3 bunches bok choy (halved, trimmed)', '400 grams beef fillet (or rump, trimmed, very thinly sliced)', 'red onion', 'mint leaves', 'fresh red chilli'];Vietnamese
19;19;Vietnamese Zoodle Pho;['1 sweet onion (large)', '2 inches fresh ginger root', '6 garlic cloves (peeled)', '1 whole star anise', '3 whole cloves', '1 zucchini (large)', '1 large carrot', '2 quarts low sodium chicken broth', '1/2 teaspoon coriander seeds (whole)', '1 serrano chile (sliced)', '1 tablespoon fish sauce', '1 1/2 pounds eye of round steak (very thinly sliced)', '5 scallions (chopped, dark green part only)', '2 cups bean sprouts', '1 cup thai basil leaves (fresh)', '1 cup fresh mint leaves', 'lime wedges (for serving)'];Vietnamese
20;20;Vietnamese Pickles;['1 pound carrots (about 3 medium carrots, peeled and julienned)', '1 pound daikon radish (about 1 large daikon, peeled and julienned)', '4 jalapeno peppers (sliced)', '2 teaspoons sugar', '1 teaspoon kosher salt', '1 1/2 cups warm water', '1 1/2 cups rice vinegar'];Vietnamese
21;21;Easy Vietnamese Pho;['900 milliliters low sodium chicken broth (30 oz, conatiners of)', '2 cups cooked chicken (cut into small cubes or shredded)', '4 cups bean sprouts', '4 ounces rice vermicelli noodles', '2 tablespoons Italian basil (or fresh Thai)', '2 tablespoons cilantro', 'hoisin sauce', 'Sriracha', 'lime wedges'];Vietnamese
22;22;Vietnamese Pulled Pork Lettuce Wraps;['1 bone-in pork shoulder blade roast (4 1/2 pounds)', '1/4 cup sriracha sauce (plus more for serving)', '1/2 cup sweet chili sauce (Vietnamese sweet garlic chili sauce*, plus more for serving)', '20 lettuce leaves (Bibb, OR butter lettuce leaves)', '1/2 cup matchstick carrots'];Vietnamese
23;23;Vietnamese Healthy Spring Rolls With Peanut Butter Sauce;"['spring rolls', '12 shrimps (large, deveined)', '1 cucumber (julienned, 3-4"" long)', '3 small carrots ( julienned, 3-4"" long)', '2 ounces buckwheat noodles', '1 head iceberg lettuce', '1 cup coriander (springs)', '1/2 cup fresh mint leaves', '1 teaspoon avocado oil', '1 teaspoon soy sauce', '10 rice paper wraps', 'salt', '1/4 cup peanut butter (plain)', '2 tablespoons soy sauce', '1 tablespoon chili garlic paste', '1 teaspoon corn starch', '1 cup water']";Vietnamese
24;24;Bo Luc Lac (Vietnamese Shaking Beef);"['1 1/2 pounds beef sirloin (or tenderloin, cut in 1-2"" pieces)', '1 onion (halved and sliced)', '1/2 cucumber (sliced)', '2 tomatoes (sliced)', '3 tablespoons green onion (sliced)', 'nuoc cham', '1 tablespoon dark soy sauce', '1 tablespoon coconut sugar', '6 garlic cloves (minced)', '1 1/2 tablespoons fish sauce', '1 tablespoon oyster sauce', '1 lime', '1/2 teaspoon salt', '1/2 teaspoon pepper', '1 teaspoon granulated sugar', '1 tablespoon rice vinegar (unseasoned)']";Vietnamese
25;25;Vietnamese Bowl;['1 pound ground pork', '1/4 cup bread crumbs', '1 large egg', '2 tablespoons chopped fresh cilantro', '1 tablespoon minced garlic (freshly)', '1/2 tablespoon ginger (freshly grated)', '1/2 teaspoon kosher salt', '1/4 teaspoon cracked black pepper (freshly)', '2 tablespoons unsalted butter', '1 cup basmati rice (rinsed until water runs clear)', '2 cups water', '1 tablespoon chicken base', 'salt', 'pepper', '1/2 cup apple cider vinegar', '3 tablespoons soy sauce', '1 cup brown sugar', '3 chile peppers (Serrano, seeded and minced)', '1 tablespoon ginger (grated)', '1/2 teaspoon kosher salt (or to taste)', 'vegetable slaw (Pickled)', 'jalapeno (Finely diced, for garnish, optional)', 'chopped cilantro (for garnish, optional)', '4 eggs (poached, optional, but totally worth it!)'];Vietnamese
26;26;Vietnamese Salad;['100 grams cellophane noodles (Vermicelli bean thread)', '1 tablespoon canola oil', '2 cloves garlic (fresh, crushed)', '1 whole fresh red chilli (long, fresh, finely chopped)', '250 grams chicken breast (low-fat, mince)', '1/2 iceberg lettuce (individual, shredded)', '1 medium carrot (grated)', '1 red capsicum (medium, thinly sliced)', '1/2 red onion (medium, thinly sliced)', '1/2 cup fresh mint leaves', '1/2 cup coriander leaves (fresh)', '2 tablespoons Vietnamese dipping sauce (Poonsin)', '1 oil (x 3 second spray, s, spray)'];Vietnamese
27;27;Easy Vietnamese Pho Noodle Soup;['4 cups beef stock (Asian, *see footnote 1)', '1 ginger (big slice)', '1 whole star anise', '3 cloves', '1 teaspoon light soy sauce (or soy sauce)', '2 teaspoons fish sauce', '200 grams beef short ribs (or sirloin steak, or tenderloin, *see footnote 2)', '150 grams dried rice noodles', '2 green onions (green part)', '1 cup bean sprouts', '1 cup fresh herbs (mix of cilantro, basil, and/or mint)', 'Sriracha sauce (or homemade hoisin sauce)'];Vietnamese
28;28;Vietnamese Lemongrass Chicken;['500 grams chicken thigh fillets (cut into roughly 3cm cubes)', '4 tablespoons fish sauce', '1 tablespoon white sugar', '1/2 teaspoon cornflour (cornstarch)', '1 lemongrass stalk (bruised and white part finely chopped)', '2 tablespoons vegetable oil', '5 garlic cloves (finely chopped)', '1 red chilli (long, finely chopped)', '1 small onion (sliced)', '1 cup coconut water', '1 red chilli (long, finely sliced)', 'steamed rice (to serve)', '1/4 cup chopped coriander (roughly, cilantro to serve, optional)'];Vietnamese
29;29;Vietnamese Caramelized Ground Pork;['1 European cucumber (long)', '2 tablespoons rice vinegar', '1 pinch salt', '1 teaspoon sugar', '1 teaspoon lemon grass (paste, from a tube)', '1 pound ground pork (or chicken)', '2 tablespoons peanut oil', '1 onion (medium, sliced into thin slivers)', '2 cloves minced garlic', '1 tablespoon sugar', '2 tablespoons fish sauce', '1 teaspoon ground black pepper (or more, You want to taste the contrast of garlic, sweet and pepper.)', 'mint (optional)', 'basil (optional)', 'cilantro (optional)', 'peanuts (optional)', 'sriracha (optional)', 'lime (optional)', 'steamed rice (for 4)'];Vietnamese
30;30;Simple Vietnamese Pork Noodle Bowl;['1 1/4 pounds pork tenderloin (trimmed and cut into 1/4-inch slices)', '12 ounces rice noodles', '4 cups coleslaw mix (prepared*)', '1/4 red onion (thinly sliced)', '4 1/2 cups chicken broth (reduced-sodium)', '4 1/2 teaspoons fish sauce', '1 teaspoon soy sauce (reduced-sodium)', '2 tablespoons canola oil (or other neutral-flavored oil)', '1/4 cup basil leaves (fresh, thinly sliced)', '1 lime (cut into 6 wedges)'];Vietnamese
31;31;Vietnamese Chicken Vermicelli Salad;['2 chicken breasts (pounded thin)', '1/4 cup sugar', '2 shallots (minced)', '2 teaspoons low sodium soy sauce', '2 teaspoons fish sauce', '2 tablespoons olive oil', '2/3 cup warm water', '1/4 cup fish sauce', '1/4 cup lime juice (juice of about 3 limes)', '3 tablespoons sugar', '1 tablespoon rice wine vinegar', '1 Thai chili (cored, seeded, and sliced thin)', '1 garlic clove (minced)', '1 tablespoon cucumber (shredded)', '1 tablespoon shredded carrot', '8 ounces rice vermicelli (dried)', '1/2 green leaf lettuce (or of a head of red, sliced thin)', '1 cucumber (peeled, de-seeded, and shredded)', '1 carrot (shredded)', '1/2 cup roasted peanuts (chopped)', 'cilantro (to taste)', 'mint leaves (to taste)'];Vietnamese
32;32;Pho Ga Vietnamese Chicken Noodle Soup;"['1 1/2 yellow onion (medium large)', '2 fresh ginger (arms about 3 inches long, choose the plumper ones.)', '1 whole chicken (3.5-4 lbs., 2-2.5 Kg)', '3 pounds chicken parts (extra, like wings, backbones, neck or any other bony chicken parts.)', '1 quart stock (jug of)', 'chickens (I cook organic, which I purchase locally from the good folks of Smith & Smith farms:)', '4 quarts water', '7 star anise (around 30-35 picks)', '12 cardamom pods', '6 cloves', '1 tablespoon coriander seeds', '2 sticks Saigon cinnamon', '1/2 teaspoon whole black pepper', '2 tablespoons turbinado sugar', '1/2 cup fish sauce (I like this kind)', '1 1/2 tablespoons sea salt', '1 piece cheese (cloth and cotton string or a large tea ball.)', '2 pounds rice noodles (small flat, bánh phở, dry or fresh)', 'cooked chicken (sliced or shredded at room temperature)', '1/2 yellow onion (sliced paper-thin, rinsed in cold water, soaked for 30 minutes and drained)', '1 shallot (thinly sliced.)', '6 scallions (thinly chopped include greens)', '1/3 cup chopped fresh cilantro (leafy tops only)', '4 cups soy bean sprouts', '12 sprigs mint', '12 sprigs thai basil (if is not in season you can use regular)', '15 leaves (fresh culantro)', '3 serrano chiles (Thai, thinly sliced)', '3 limes (cut into wedges)', 'Sriracha (“Rooster sauce"")']";Vietnamese
33;33;Vietnamese Rice Paper Rolls;['rolls', '1 tablespoon oil', '1/2 pound beef (thinly sliced)', '1 bowl water', '8 rice paper wrappers', '1 carrot (cut in to thin slices)', '1 cucumber (cut in to thin slices)', 'lettuce (shredded)', 'spring onion (chopped)', 'mint', 'coriander', 'sauce', '3 tablespoons fish sauce', '1 tablespoon soy sauce', '1 chili (spicy, finely chopped)', '2 cloves garlic (minced)'];Vietnamese
34;34;Pho Ga (Vietnamese Chicken Noodle Soup);['2 quarts chicken broth (organic low-sodium, free chicken broth)', '1/2 yellow onion (peeled and halved)', '1 inch ginger (knob of, peeled)', '1 teaspoon kosher salt', '1 teaspoon whole black peppercorns', '1 teaspoon coriander seeds', '1/2 teaspoon anise seeds', '1 lemongrass (4-inch, piece)', '4 garlic cloves (peeled)', '6 ounces dried rice noodles', '2 tablespoons hoisin sauce', '2 cups rotisserie chicken (shredded)', '1 shallot', '1 tablespoon vegetable oil', '1 thai chile (or jalapeno pepper)', '2 green onions', '2 tablespoons cilantro leaves (fresh)', '1 lime', '3 ounces bean sprouts'];Vietnamese
35;35;Vietnamese Lemongrass Chicken;['2 tablespoons fish sauce', '3 garlic cloves (crushed)', '1 tablespoon curry powder', '1/2 teaspoon salt', '2 tablespoons sugar', '1 1/2 pounds boneless skinless chicken breast (/thigh, cut into 1 1/2-inch pieces)', '3 tablespoons water', '3 tablespoons cooking oil', '2 lemongrass stalks (fresh, tender inner white bulbs only, minced)', '1 shallot (large, thinly sliced)', '3 chilies (seeded and minced)', '1 scallion (for garnishing, optional)'];Vietnamese
36;36;Sticky Vietnamese Air Fryer Pork Ribs;['1 1/2 pounds baby-back pork ribs', '1/2 cup fish sauce', '1/2 cup sugar', '5 cloves garlic (crushed with flat end of knife)', '3 cloves garlic (minced)', '2 tablespoons fresh cilantro (minced, for serving, optional)', '1 tablespoon fresh mint (minced, for serving, optional)'];Vietnamese
37;37;Vietnamese Cucumber Salad;['2 pounds japanese cucumbers (or, about 8 Persian, stripey peeled)', '1 jalapeño (large, seeds and veins removed if desired, thinly sliced)', '3 scallions (finely sliced)', '1 garlic clove', '1 pinch salt', '1/2 cup cilantro leaves (coarsely chopped)', '16 mint leaves (large, coarsely chopped)', '1/2 cup toasted peanuts (coarsely chopped)', '1/4 cup oil (neutral-tasting)', '5 tablespoons lime juice', '4 teaspoons seasoned rice wine vinegar', '1 tablespoon fish sauce', '1 teaspoon sugar', '1 pinch salt'];Vietnamese
38;38;Vietnamese Caramelized Shrimp;['1/4 cup fish sauce', '2 tablespoons dark brown sugar (packed)', '1/2 teaspoon crushed red pepper flakes', '1/2 cup water', '1/4 cup vegetable oil', '1 yellow onion (medium, finely chopped)', '5 cloves garlic (minced)', '2 pounds extra large shrimp (peeled and deveined)', '3 scallions (white and green parts, thinly sliced)', '1/3 cup chopped fresh cilantro'];Vietnamese
39;39;Vietnamese Style Grilled Lemongrass Pork;['800 grams pork shoulder (sliced to about ½ inch thick pieces)', '6 cloves garlic', '2 shallots (roughly chopped)', '2 stalks lemongrass (white part only)', '1 tablespoon dark soy sauce', '1/4 cup fish sauce', '3 tablespoons oil', 'ground black pepper (freshly)', '1/2 cup honey'];Vietnamese
40;40;Vietnamese Chicken Salad;['2 skinless boneless chicken breasts', '2 tablespoons clear honey', '1 tablespoon rice wine vinegar', '1 tablespoon soy sauce', '1 tablespoon lime juice', '1/2 tablespoon sesame oil', '1 garlic clove (crushed)', '1 centimeter fresh ginger (piece, peeled and grated)', '1 tablespoon sesame seeds (toasted)', '1 red chilli (small, very finely sliced)', '1 bunch coriander (roughly chopped)', '1/2 carrot (large, cut into fine matchsticks)', 'peanuts (small handful unsalted, chopped)', '4 spring onions (shredded)', '4 centimeters cucumber (piece, peeled, halved, de-seeded and cut into matchsticks)', '1/2 lettuce (Chinese, finely shredded)'];Vietnamese
41;41;Vietnamese Spring Rolls with Slow-Cooked Pork;['2 pounds pork sirloin roast (tip roast)', '1 teaspoon coriander', '3/4 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 cup orange juice (fresh)', '1 cup reduced sodium chicken broth', '2 tablespoons fish sauce (OR soy sauce)', '6 cloves garlic (smashed under a knife & peeled)', '2 teaspoons ginger (fresh, finely chopped)', '1 yellow onion (medium, cut into 1/4-inch-thick half-moons)', '1 orange (large, cut into 1/4-inch-thick rounds, do not peel)', '7 ounces plum sauce (3/4 cup sweet, also called duck sauce)', '1 1/2 teaspoons ginger (fresh, finely grated, use the small holes on a box grater or use a ginger grater)', '1 tablespoon fish sauce (OR soy sauce)', '8 ounces spring roll wrappers (8-inch diameter rice, 22 wrappers)', '2 medium carrot (cut into matchsticks)', '1/2 English cucumber (seedless, cut into matchsticks)', '1 red bell pepper (medium, cored and cut into matchsticks)', '2 cups baby spinach (packed)', '1/8 cup mint leaves (fresh)', '1/8 cup fresh basil'];Vietnamese
42;42;Vietnamese Chicken Salad;['1 lime (large)', '6 tablespoons peanut oil', '2 tablespoons asian fish sauce', '1 tablespoon sugar', '2 cups chicken (shredded pan-seared)', '2 napa cabbage (shredded or thinly sliced)', '4 green onions (thinly sliced)', '1/4 cup chopped fresh cilantro', 'freshly ground pepper', 'salt', '1/4 cup roasted peanuts (coarsely chopped)'];Vietnamese
43;43;Vietnamese Rolls;['1 baguette (split and quartered)', '1/2 pork (quantity caramelised, sliced,, see caramelised pork recipe)', '2 green onions (scallions, sliced)', '1 cucumber (Lebanese, sliced)', '1/2 cup pickled carrot', '1/2 cup white radish (pickled)', '1/2 cup coriander (cilantro leaves)', '1/2 cup mint leaves (Vietnamese)', '1 red chilli (long, sliced)', '1/4 cup mayonnaise (whole-egg)', '2 tablespoons chives (chopped)', '2 teaspoons lemon juice'];Vietnamese
44;44;Vietnamese Pork & Vermicelli Bowl;['1 tablespoon vegetable oil', '1 cup white sugar', '2 pounds pork spareribs (cut into 1-inch pieces)', '2 green onions (cut in 2-inch lengths)', '1 chile pepper (green, chopped)', '1 teaspoon ground black pepper', '2 shallots (finely chopped)', '2 cloves garlic (minced)', 'salt (to taste)', 'toasted sesame oil (1 teaspoon Asian)', '1 tablespoon green onion (thinly sliced and separated into rings)'];Vietnamese
45;45;Vietnamese Loaded Fries;"[""13 ounces french fries ('fast food style' EXTRA CRUNCHY, such as Ore Ida)"", '1/4 cup hoisin sauce', '3 teaspoons Sriracha sauce', '1/4 cup mayo (Garlic, recipe follows)', '1/4 cup salted roasted peanuts (chopped, see notes)', '3 tablespoons cilantro (roughly chopped)', '1/4 cup mayonnaise', '1 teaspoon milk', '1 teaspoon garlic powder']";Vietnamese
46;46;Vietnamese Spring Rolls;"['100 grams vermicelli noodles (Chinese, sotanghon)', '200 grams beef (cooked)', '1/2 cup carrots (julienned)', '1 1/2 cups bean sprouts (togue)', '1/4 cup spring onions (cut into 1-inch strips)', '3 tablespoons fish sauce (patis)', '2 tablespoons honey', '2 tablespoons soy sauce', '1/4 cup hoisin sauce', '1 tablespoon vinegar', '1/2 cup creamy peanut butter', '3/4 cup hot water', 'cilantro sprigs', ""Bird's eye chili (sliced, siling labuyo)""]";Vietnamese
47;47;Vietnamese Chicken Salad;['4 boneless skinless chicken breasts (large, about 2 lbs)', '1 cup chopped cilantro', '2 tablespoons lemon zest', '5 tablespoons lemon juice', '1 lime', '1/2 cup extra virgin olive oil', '1 tablespoon kosher salt', '1/2 tablespoon ground black pepper', '1/4 cup dark brown sugar (packed)', '1/4 cup fresh lime juice', '1 red chile (small, deseeded and minced)', '2 cloves garlic (minced)', '1/4 cup extra virgin olive oil', '2 tablespoons fish sauce', '12 ounces green beans (stems removed)', '4 ounces dried rice noodles (rice sticks)', '1 cup cherry tomatoes (halved or quartered, depending on size, halve the small ones, quarter the large ones)', '1 cup daikon radish (julienned)', '1 cup Persian cucumber (or julienned English)', '3 cups napa cabbage (or thinly sliced savoy)', '1 cup grated carrot', '1 cup celery (thinly sliced)', '1 cup chopped cilantro', '1 bunch green onion (dark green parts chopped, white parts discarded)', '1 cup salted roasted peanuts'];Vietnamese
48;48;Vietnamese Spring Rolls;['1 spring roll wrapper (pack, I only used half of the package can save it for next time use)', '1 bag rice vermicelli (10.58oz)', '1/2 head lettuce', '2 carrots (shed)', '1 bunch cilantro', '1 bunch mints', '1 bag shrimps (cooked, 30-50 count)', '2 tablespoons hoisin sauce', '1 tablespoon water', '1 tablespoon peanut butter'];Vietnamese
